Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%
D,639,Van de Ven,4.7,4.7,Spurs,90,2.85,87,3.10,85,2.68,83,1.38,81,2.85,80,2.52,79,2.83,79,3.10,0.00
F,640,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,641,Veliz,5.4,5.4,Spurs,3,0.17,5,0.27,5,0.30,6,0.30,7,0.36,6,0.33,6,0.33,8,0.39,0.00
M,642,Álvarez,5.0,5.0,West Ham,63,1.77,66,2.07,69,2.06,70,2.16,72,1.89,71,2.03,70,2.22,72,2.03,0.00
D,643,Aarons,4.5,4.5,Bournemouth,66,0.83,68,1.65,65,2.52,63,1.77,62,1.94,60,1.26,57,2.62,58,1.85,0.00
M,644,Scott,4.9,4.9,Bournemouth,25,0.89,24,0.94,23,1.00,25,0.99,27,1.02,28,1.03,28,1.23,29,1.09,0.00
F,645,Y. Chermiti,4.9,4.9,Everton,3,0.27,5,0.32,5,0.36,6,0.38,6,0.41,6,0.40,6,0.42,7,0.41,0.00
G,646,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,3,0.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,647,Anang,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,648,Francis-Clarke,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,649,Cannon,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,650,Onyango,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,0,0.00,0,0.00,1,0.08,0.00
F,651,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,652,Dibley-Dias,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,653,Seriki,4.0,4.0,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
